n;f;alfa;tle;avg_latency
3;1;0;500;8.00
3;1;0;1000;8.80
3;1;0;1500;11.00
3;1;0;2000;9.60
3;1;0.1;500;8.80
3;1;0.1;1000;9.20
3;1;0.1;1500;9.00
3;1;0.1;2000;9.20
3;1;1;500;7.80
3;1;1;1000;7.80
3;1;1;1500;9.00
3;1;1;2000;8.00
10;4;0;500;34.80
10;4;0;1000;39.40
10;4;0;1500;40.40
10;4;0;2000;42.40
10;4;0.1;500;42.60
10;4;0.1;1000;40.60
10;4;0.1;1500;49.00
10;4;0.1;2000;40.40
10;4;1;500;42.00
10;4;1;1000;62.20
10;4;1;1500;29.60
10;4;1;2000;42.60
100;49;0;500;661.80
100;49;0;1000;1192.20
100;49;0;1500;1670.80
100;49;0;2000;2146.00
100;49;0.1;500;548.80
100;49;0.1;1000;1045.60
100;49;0.1;1500;1549.40
100;49;0.1;2000;1880.80
100;49;1;500;550.80
100;49;1;1000;999.00
100;49;1;1500;1547.40
100;49;1;2000;2048.40
